Statistical profiling result from naudodon-neo.log, (2136 ticks, 678 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.1%  std::ostreambuf_iterator<char, std::char_traits<char> > std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > >::_M_insert_int<long>(std::ostreambuf_iterator<char, std::char_traits<char> >, std::ios_base&, char, long) const@@GLIBCXX_3.4
      1    0.0%    0.1%  std::ostream& std::ostream::_M_insert<long>(long)@@GLIBCXX_3.4.9
      1    0.0%    0.1%  pthread_getattr_default_np@@GLIBC_2.34
      1    0.0%    0.1%  pthread_create@GLIBC_2.2.5
      1    0.0%    0.1%  operator new[](unsigned long, std::nothrow_t const&)@@GLIBCXX_3.4
      1    0.0%    0.1%  getdents64@@GLIBC_2.30
      1    0.0%    0.1%  cfree@GLIBC_2.2.5
      1    0.0%    0.1%  __pthread_once@GLIBC_2.2.5
      1    0.0%    0.1%  __mprotect@@GLIBC_PRIVATE
      1    0.0%    0.1%  __mmap@@GLIBC_PRIVATE
      1    0.0%    0.1%  __lll_lock_wait_private@@GLIBC_PRIVATE
      1    0.0%    0.1%  __errno_location@@GLIBC_2.2.5
      1    0.0%    0.1%  __close_nocancel@@GLIBC_PRIVATE
      1    0.0%    0.1%  __close@@GLIBC_2.2.5
      1    0.0%    0.1%  _IO_file_sync@@GLIBC_2.2.5

 [Summary]:
   ticks  total  nonlib   name
    139    6.5%    7.6%  JavaScript
   1013   47.4%   55.4%  C++
     61    2.9%    3.3%  GC
    306   14.3%          Shared libraries
    678   31.7%          Unaccounted

 [C++ entry points]:
   ticks    cpp   total   name
     71   35.9%    3.3%  sendmsg@@GLIBC_2.2.5
     37   18.7%    1.7%  __write@@GLIBC_2.2.5
     27   13.6%    1.3%  std::basic_ostream<char, std::char_traits<char> >& std::__ostream_insert<char, std::char_traits<char> >(std::basic_ostream<char, std::char_traits<char> >&, char const*, long)@@GLIBCXX_3.4.9
     16    8.1%    0.7%  fwrite@@GLIBC_2.2.5
      8    4.0%    0.4%  _IO_file_xsputn@@GLIBC_2.2.5
      6    3.0%    0.3%  pthread_cond_signal@@GLIBC_2.3.2
      5    2.5%    0.2%  syscall@@GLIBC_2.2.5
